Year,Unnamed: 0,GEOID,TTI,PTI,BTI,Peak,w_geocode,Population,Jobs,Jobs_Capita,Severity,Variability
2020,785,150030043022,1.2199917268119824,2.5408349807798314,0.3914687184447761,am,150030043022.0,656.0,345.0,1.901449275362319,1.880413353795907,2.0826657467746985
2020,786,150030045001,1.1598249956230948,2.013317356902698,0.0818731280767141,am,150030045001.0,981.0,344.0,2.8517441860465116,1.5865711762628965,1.7358802961657849
2020,787,150030045002,1.2188255705688276,2.058833540305694,0.0037964748502176,am,150030045002.0,1483.0,43.0,34.48837209302326,1.6388295554372607,1.6891945738755985
2020,788,150030045003,1.1434879513312015,2.044514819762487,0.07117435767656,am,150030045003.0,2054.0,122.0,16.83606557377049,1.5940013855468442,1.787963587532643
2020,789,150030045004,1.1136461197481753,1.3454524869329856,0.0426264366486096,am,150030045004.0,810.0,132.0,6.136363636363637,1.2295493033405804,1.2081508327234398
2020,790,150030046002,1.1541573779011722,2.242598231069534,0.0782241842024027,am,150030046002.0,1032.0,222.0,4.648648648648648,1.698377804485353,1.943061036569973
2020,791,150030048012,1.4292423700932493,2.186721769788585,0.050211016236178,am,150030048012.0,978.0,670.0,1.4597014925373135,1.807982069940917,1.529986666744224
2020,792,150030051001,1.402394298662104,2.464096332302254,0.1423023422916977,am,150030051001.0,1701.0,78.0,21.807692307692307,1.9332453154821791,1.7570638547611201
2020,793,150030051002,1.3837928172094107,2.223930739920409,0.1827243435892737,am,150030051002.0,1172.0,351.0,3.339031339031339,1.8038617785649098,1.6071269573470113
2020,794,150030052001,1.3541248890379831,2.02188752010231,0.1525592684683479,am,150030052001.0,691.0,876.0,0.7888127853881278,1.6880062045701467,1.49313223357022
2020,795,150030052002,1.4388093750147355,2.4014776085188845,0.0389502525316505,am,150030052002.0,1550.0,464.0,3.3405172413793105,1.9201434917668099,1.6690728113265803
2020,796,150030053001,1.3968540019197373,2.074062586112906,0.1159672615552362,am,150030053001.0,2974.0,551.0,5.397459165154265,1.7354582940163215,1.4848098536156684
2020,797,150030053002,1.2513637308544556,1.9739823020377487,0.1249909438416072,am,150030053002.0,975.0,414.0,2.3550724637681157,1.6126730164461023,1.5774648516382004
2020,798,150030054001,1.5310656672573275,2.49451537510962,0.0290167416010731,am,150030054001.0,1745.0,10.0,174.5,2.012790521183474,1.6292673975102367
2020,799,150030055001,1.4382438259396344,2.48423005475798,0.2188507378289415,am,150030055001.0,2057.0,365.0,5.635616438356164,1.9612369403488072,1.7272662742946114
2020,800,150030056012,1.3233271690190915,2.171523813004033,0.1123174193371793,am,150030056012.0,864.0,23.0,37.56521739130435,1.7474254910115623,1.6409576285006393
2020,801,150030056021,1.3367198379528789,2.2394732837580884,0.1649953996404358,am,150030056021.0,1307.0,385.0,3.394805194805195,1.7880965608554837,1.675349777996661
2020,802,150030056022,1.5655093628448418,3.095781888124849,0.0613173039293871,am,150030056022.0,820.0,79.0,10.379746835443038,2.3306456254848453,1.977491774625479
2020,803,150030056023,1.398576888749286,2.4776029452334534,0.1894101050216182,am,150030056023.0,2174.0,421.0,5.163895486935867,1.9380899169913697,1.771517150872638
2020,804,150030057001,1.3597887541480236,2.0558580704293297,0.1990990838251097,am,150030057001.0,1930.0,13889.0,0.13895888832889336,1.7078234122886766,1.511895185305771
2020,805,150030057002,1.6933385199461302,2.732979937902536,0.1984154547409127,am,150030057002.0,858.0,2778.0,0.30885529157667385,2.213159228924333,1.613959586763242
2020,806,150030058001,1.480003859277679,2.3942720613087998,0.0446336775035442,am,150030058001.0,963.0,84.0,11.464285714285714,1.9371379602932395,1.617747174306243
2020,807,150030058002,1.372161807063428,1.977210854622167,0.1140178970471551,am,150030058002.0,2281.0,1545.0,1.4763754045307442,1.6746863308427975,1.4409458450484116
2020,808,150030059001,1.3852812155481564,2.285822542922264,0.2016369983982337,am,150030059001.0,1716.0,9983.0,0.17189221676850647,1.8355518792352101,1.6500783503497973
2020,809,150030059002,1.536206666043858,3.126625918236515,0.0580345212667806,am,150030059002.0,1733.0,1156.0,1.4991349480968859,2.3314162921401866,2.035289904247331
2020,810,150030060003,1.1645251396648049,3.590363128491616,0.2507236821572357,am,150030060003.0,1487.0,5214.0,0.2851937092443422,2.3774441340782104,3.083113456464375
2020,811,150030061001,1.469111304167226,2.7302148907510224,0.1785153377230626,am,150030061001.0,1804.0,307.0,5.8762214983713354,2.099663097459124,1.858412553906976
2020,812,150030061002,1.2958664342145636,2.2030094112691123,0.0916765397630338,am,150030061002.0,2009.0,239.0,8.405857740585773,1.749437922741838,1.700028145728133
2020,813,150030062031,1.111529628166017,2.284875020288731,0.1365224429043441,am,150030062031.0,2923.0,539.0,5.4230055658627085,1.698202324227374,2.0556132399805582
2020,814,150030063011,1.2892089412223338,2.1128806587886504,0.2130156240761064,am,150030063011.0,1219.0,152.0,8.019736842105264,1.701044800005492,1.638896994295875
2020,815,150030063021,1.1705625614723625,1.4803205696300423,0.0364283059723693,am,150030063021.0,1285.0,8.0,160.625,1.3254415655512024,1.264623197728158
2020,816,150030063022,1.224538448459377,1.6054300309476046,0.1028728661551849,am,150030063022.0,1966.0,132.0,14.893939393939394,1.4149842397034909,1.31104910014662
2020,817,150030064011,1.3688804659516078,2.1980147742903107,0.0366097872873193,am,150030064011.0,2191.0,46.0,47.630434782608695,1.7834476201209593,1.6057024911684392
2020,818,150030064024,1.3345951035781545,1.9286252354048965,0.0181603129510818,am,150030064024.0,1752.0,136.0,12.882352941176471,1.6316101694915255,1.4451013871054228
